search URL:,https://patents.google.com/?assignee=Tesla+Motors%252c+Inc&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2804297-A2,Squirrel-cage rotor assembly with electron beam welded end caps ,"Tesla Motors, Inc.","David Fred Nelson, Shyi-Perng Phillip Luan, Edwin Marcum Pearce, William Randall Fong",2013-05-18,2014-05-16,2014-11-19,,https://patents.google.com/patent/EP2804297A2/en,https://patentimages.storage.googleapis.com/83/57/98/6ec74e08cba4cc/imgf0001.png
US-D773197-S,Seat ,"Tesla Motors, Inc.","Patrick Grimmel, Radu I Muntean, Franz Von Holzhausen",2015-07-08,2015-07-08,2016-12-06,2016-12-06,https://patents.google.com/patent/USD773197S1/en,https://patentimages.storage.googleapis.com/18/80/c6/1178b3ff8e25c3/USD0773197-20161206-D00000.png
US-D783497-S,Vehicle wheel ,"Telsa, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2017-04-11,2017-04-11,https://patents.google.com/patent/USD783497S1/en,https://patentimages.storage.googleapis.com/9c/eb/26/c617b0f1c70aa0/USD0783497-20170411-D00000.png
US-2018162199-A1,Infotainment system with air-vent control ,"Tesla Motors, Inc.","Jonathan Stoia, Christopher Berthelet",2016-12-09,2016-12-09,2018-06-14,,https://patents.google.com/patent/US20180162199A1/en,https://patentimages.storage.googleapis.com/ff/18/fa/019637e90153f0/US20180162199A1-20180614-D00000.png
US-2018114740-A1,Inverter ,"Tesla Motors, Inc.","Wenjun Liu, Robert James Ramm, Alan David Tepe, Colin Kenneth Campbell, Dino Sasaridis",2016-10-25,2016-10-25,2018-04-26,,https://patents.google.com/patent/US20180114740A1/en,https://patentimages.storage.googleapis.com/5f/36/66/eeef9c2a1ad603/US20180114740A1-20180426-D00000.png
US-2017057388-A1,Monopost for free-standing vehicle seat ,"Tesla Motors, Inc.","P Thomas Vikstrom, Jan Just, Olav SADOO, Tony PASCHOS",2015-08-27,2015-08-27,2017-03-02,,https://patents.google.com/patent/US20170057388A1/en,https://patentimages.storage.googleapis.com/a6/65/30/a4e5df08be576a/US20170057388A1-20170302-D00000.png
US-2017059697-A1,Hidden ultrasonic sensor assembly ,"Tesla Motors, Inc.",Adnan Esmail,2015-08-31,2016-08-31,2017-03-02,,https://patents.google.com/patent/US20170059697A1/en,https://patentimages.storage.googleapis.com/a9/93/e6/e52d4ddd87d599/US20170059697A1-20170302-D00000.png
US-D791378-S,Vehicle fascia lamp ,"Tesla, Inc.","Bernard Lee, Joonas Vartola, David T Imai, Franz Von Holzhausen",2016-03-30,2016-03-30,2017-07-04,2017-07-04,https://patents.google.com/patent/USD791378S1/en,https://patentimages.storage.googleapis.com/53/03/22/1363f16f9c9a6e/USD0791378-20170704-D00000.png
US-D818407-S,Vehicle side view mirror ,"Tesla, Inc.","Bernard Lee, David T Imai, Franz Von Holzhausen",2016-03-30,2016-03-30,2018-05-22,2018-05-22,https://patents.google.com/patent/USD818407S1/en,https://patentimages.storage.googleapis.com/55/9f/42/a6ecae86df205e/USD0818407-20180522-D00000.png
US-2014376995-A1,Air-tight Slip-on Structural Joint Not Using Sealant ,"Tesla Motors, Inc.","Andreas Faass, Aaron Johnson, Derek Ryan Paul, Donald James Parr, Kevin Matthew Anderson",2013-06-20,2013-06-20,2014-12-25,,https://patents.google.com/patent/US20140376995A1/en,https://patentimages.storage.googleapis.com/0a/c1/6c/c1da417f2b8398/US20140376995A1-20141225-D00000.png
US-2017275930-A1,Angle-detecting door handle assembly ,"Tesla Motors, Inc.","Joris Aerts, Klaus Hofmockel, Brian SVEC",2016-03-25,2016-03-25,2017-09-28,,https://patents.google.com/patent/US20170275930A1/en,https://patentimages.storage.googleapis.com/95/ed/b5/f7c960ca758f39/US20170275930A1-20170928-D00000.png
US-2014368082-A1,Limiting radial expansion in rotor balancing ,"Tesla Motors, Inc.",Augusto E. Barton,2013-06-17,2013-06-17,2014-12-18,,https://patents.google.com/patent/US20140368082A1/en,https://patentimages.storage.googleapis.com/cc/11/ef/9c19148e546343/US20140368082A1-20141218-D00000.png
US-2017093157-A1,Energy storage system with dual-active-bridge converter ,"Tesla Motors, Inc.","Brandon Pierquet, Mehmet Ozbek, Andrew David Baglino",2015-09-30,2016-09-30,2017-03-30,,https://patents.google.com/patent/US20170093157A1/en,https://patentimages.storage.googleapis.com/23/de/ce/2d211d1fb9ac11/US20170093157A1-20170330-D00000.png
CN-106461731-A,Functional redundancy of communications and data transmission in energy storage system ,特斯拉汽车公司,I·C·戴门,2014-04-02,2015-04-02,2017-02-22,,https://patents.google.com/patent/CN106461731A/en,
US-9496775-B2,Controlling end ring balance in pre-balancing spinning process ,"Tesla Motors, Inc.","Augusto E. Barton, Edwin M. Pearce, Jr., Shyi-Perng Phillip Luan",2013-06-19,2013-06-19,2016-11-15,2016-11-15,https://patents.google.com/patent/US9496775B2/en,https://patentimages.storage.googleapis.com/09/72/b3/c75f77e5c8885e/US09496775-20161115-D00000.png
US-2016380248-A1,Energy storage container with vortex separator ,"Tesla Motors, Inc.","Jason HAER, Joseph Mardall, Scott I. Kohn, Adam MASER, Peter How, Christopher Grimmer",2015-06-25,2015-06-25,2016-12-29,,https://patents.google.com/patent/US20160380248A1/en,https://patentimages.storage.googleapis.com/2f/3b/26/4fdcb71b2bc237/US20160380248A1-20161229-D00000.png
US-D834913-S,Vehicle door handle ,"Tesla, Inc.","Radu I Muntean, Franz Von Holzhausen",2016-03-30,2016-03-30,2018-12-04,2018-12-04,https://patents.google.com/patent/USD834913S1/en,https://patentimages.storage.googleapis.com/ca/07/ed/72070abd9e6e0c/USD0834913-20181204-D00000.png
CN-105763117-A,Electric Motor Using Multiple Reference Frames For Flux Angle ,特斯拉汽车公司,M·霍尔维克,2014-12-30,2015-11-25,2016-07-13,,https://patents.google.com/patent/CN105763117A/en,
DE-102016108562-A1,SEMICONDUCTOR COMPONENT WITH STACKED CONNECTORS ,Tesla Motors Inc.,"Wenjun Liu, Colin Campbell, Robert James Ramm",2015-06-11,2016-05-10,2016-12-15,,https://patents.google.com/patent/DE102016108562A1/en,https://patentimages.storage.googleapis.com/30/af/f9/a59457d2428c3a/DE102016108562A1_0002.png
EP-3146818-A4,Heatsink with internal cavity for liquid cooling ,Tesla Motors Inc.,"Robert James RAMM, Wenjun Liu, Colin Campbell",2014-05-23,2015-05-18,2018-01-24,,https://patents.google.com/patent/EP3146818A4/en,
US-2017229268-A1,Pyrotechnic disconnect with arc splitter plates ,"Tesla Motors, Inc.","Mark Goldman, Jeff CORTES, Jeffrey G. Reichbach",2016-02-04,2016-02-04,2017-08-10,,https://patents.google.com/patent/US20170229268A1/en,https://patentimages.storage.googleapis.com/fd/0b/bb/1b03f2a07089a4/US20170229268A1-20170810-D00000.png
US-2017130495-A1,Dual-hinge closure with latching in horizontal direction ,"Tesla Motors, Inc.","David Wheeler, Steve Klotz, Ian Sadowski, Nermin Mujcinovic, Noam Goldberg, Robert Coleman Skelton, Andy Warburton, Adnan Esmail, Joshua Liu, Andy Wong, Padmanabhan Kumar, Jon Bennett, John Hughes, Hemant Sikaria, Jacob WARMAN, Chris Satkoski, Nicolas Altenburger",2015-09-24,2016-09-22,2017-05-11,,https://patents.google.com/patent/US20170130495A1/en,https://patentimages.storage.googleapis.com/23/47/4a/dbae7ccc9f88f4/US20170130495A1-20170511-D00000.png
US-D789860-S,Vehicle wheel face ,"Tesla, Inc.","Bernard Lee, David T Imai, Franz Von Holzhausen",2016-03-30,2016-03-30,2017-06-20,2017-06-20,https://patents.google.com/patent/USD789860S1/en,https://patentimages.storage.googleapis.com/74/81/73/e277069c967609/USD0789860-20170620-D00000.png
US-10424923-B2,Scalable and flexible cell-based energy storage system ,"Tesla, Inc.","Mehmet Ozbek, Brandon Pierquet, Andrew David Baglino",2015-09-30,2016-09-29,2019-09-24,2019-09-24,https://patents.google.com/patent/US10424923B2/en,https://patentimages.storage.googleapis.com/e9/17/2f/e56618f3abd746/US10424923-20190924-D00000.png
US-9692038-B2,Cap for electrochemical cell ,"Tesla, Inc.","Kunio Tsuruta, Kenjin Masumoto",2013-11-25,2014-11-24,2017-06-27,2017-06-27,https://patents.google.com/patent/US9692038B2/en,https://patentimages.storage.googleapis.com/cf/ea/5f/0a5da13dcedec5/US09692038-20170627-D00000.png
US-D777663-S,Energy storage device ,"Tesla Motors, Inc.","Franz Von Holzhausen, Radu I Muntean, Javier Verdura",2015-07-07,2015-07-07,2017-01-31,2017-01-31,https://patents.google.com/patent/USD777663S1/en,https://patentimages.storage.googleapis.com/84/60/d3/37c943ba177fe3/USD0777663-20170131-D00000.png
US-D790742-S,Vehicle headlight ,"Tesla, Inc.","David T Imai, Franz Von Holzhausen, Bernard Lee",2016-03-30,2016-03-30,2017-06-27,2017-06-27,https://patents.google.com/patent/USD790742S1/en,https://patentimages.storage.googleapis.com/d1/68/12/828f41a472e03f/USD0790742-20170627-D00000.png
US-2014212708-A1,Battery Pack Exhaust Nozzle ,"Tesla Motors, Inc.","Paul Frey, Dustin Grace",2013-01-26,2013-01-26,2014-07-31,,https://patents.google.com/patent/US20140212708A1/en,https://patentimages.storage.googleapis.com/46/07/71/6e3d32eabb52a6/US20140212708A1-20140731-D00000.png
US-2018122973-A1,"Obscuring, color matching, and camouflaging solar panels ","Tesla Motors, Inc.","Michael Pilliod, Christos Gougoussis, Oliver Lefevre, Mike Laurin, John Liu",2016-10-28,2017-10-27,2018-05-03,,https://patents.google.com/patent/US20180122973A1/en,https://patentimages.storage.googleapis.com/73/6c/d2/c41564d71282e2/US20180122973A1-20180503-D00000.png
US-D791377-S,Vehicle taillight ,"Tesla, Inc.","Julien Bilodeau, Franz Von Holzhausen, Bernard Lee, David T Imai",2016-03-30,2016-03-30,2017-07-04,2017-07-04,https://patents.google.com/patent/USD791377S1/en,https://patentimages.storage.googleapis.com/15/44/58/6b4a7f5b978014/USD0791377-20170704-D00000.png
US-2017229266-A1,Arc-suppressing gas blast in pyrotechnic disconnect ,"Tesla Motors, Inc.","Jeff CORTES, Jeffrey G. Reichbach, Mark Goldman",2016-02-04,2016-02-04,2017-08-10,,https://patents.google.com/patent/US20170229266A1/en,https://patentimages.storage.googleapis.com/51/3b/51/2417c79355719f/US20170229266A1-20170810-D00000.png
US-2017073010-A1,Structural beam member with dual side reinforcement ribbing ,"Tesla Motors, Inc.","Luis E. ALANIS, Hussein Sanaknaki",2015-09-16,2015-09-16,2017-03-16,,https://patents.google.com/patent/US20170073010A1/en,https://patentimages.storage.googleapis.com/17/6f/17/5656b17987e8d3/US20170073010A1-20170316-D00000.png
US-2017021703-A1,Visor for continuously extended windshield ,"Tesla Motors, Inc.","Miklos SZENTKIRALYI, Craig COCHRANE, Jorge FIALHO, Derek Allen, Joonas Vartola, Franz Von Holzhausen",2015-07-20,2015-07-20,2017-01-26,,https://patents.google.com/patent/US20170021703A1/en,https://patentimages.storage.googleapis.com/54/71/77/e44ff1b4154e5b/US20170021703A1-20170126-D00000.png
US-D775006-S,Motor vehicle front bumper with hood ,"Tesla Motors, Inc.","Bernard Lee, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2016-12-27,2016-12-27,https://patents.google.com/patent/USD775006S1/en,https://patentimages.storage.googleapis.com/24/aa/c3/adbd58f30b35f5/USD0775006-20161227-D00000.png
US-2018130921-A1,System and methods for achieving a micro louver effect in a photovoltaic cell ,"Tesla, Inc.","Alex Christopher Mayer, Brian Edward Atchley, Andreas Meisel",2016-11-09,2017-11-08,2018-05-10,,https://patents.google.com/patent/US20180130921A1/en,https://patentimages.storage.googleapis.com/a9/53/78/f1844e8eba5ae0/US20180130921A1-20180510-D00000.png
JP-2023022137-A,Methods and apparatuses for energy storage device electrode fabrication ,"テスラ・インコーポレーテッド, Tesla Motors Inc","ポーター ミッチェル, Mitchell Porter",2017-11-02,2022-11-21,2023-02-14,,https://patents.google.com/patent/JP2023022137A/en,https://patentimages.storage.googleapis.com/80/fb/3d/b9a583255b0623/2023022137000002.png
CN-105684121-A,Electromagnetic Switch With Damping Interface ,特斯拉汽车公司,"M·戈德曼, I·C·戴门, B·斯普拉格",2013-12-02,2014-11-24,2016-06-15,,https://patents.google.com/patent/CN105684121A/en,
US-2018029132-A1,Deposition of metal dies for part fabrication ,"Tesla Motors, Inc.",Rajesh Prasannavenkatesan,2016-07-29,2016-07-29,2018-02-01,,https://patents.google.com/patent/US20180029132A1/en,https://patentimages.storage.googleapis.com/24/20/cd/f7e780c04eb3e9/US20180029132A1-20180201-D00000.png
US-D788671-S,Vehicle wheel face ,"Tesla, Inc.","Joonas Vartola, Franz Von Holzhausen",2016-03-30,2016-03-30,2017-06-06,2017-06-06,https://patents.google.com/patent/USD788671S1/en,https://patentimages.storage.googleapis.com/5a/83/06/2d6a24549788ae/USD0788671-20170606-D00000.png
US-D817257-S,Vehicle display and mount ,"Tesla, Inc.","Ivan Lampkin, Peter Blades-Nixon, Caroline Park, Franz Von Holzhausen",2016-03-30,2016-03-30,2018-05-08,2018-05-08,https://patents.google.com/patent/USD817257S1/en,https://patentimages.storage.googleapis.com/01/0e/db/283f4ea5d80251/USD0817257-20180508-D00000.png
US-2017087617-A1,High speed blow forming processes ,"Tesla Motors, Inc.","Rajesh Prasannavenkatesan, Matthew Parker, Yvon Laplante, Nicolas Bombardier, Ben Rush, Shi LI",2015-09-25,2015-09-25,2017-03-30,,https://patents.google.com/patent/US20170087617A1/en,https://patentimages.storage.googleapis.com/90/86/19/e134511ffc41a7/US20170087617A1-20170330-D00000.png
